step,spawn_x,spawn_y,goal_x,goal_y,dist,speed,yaw_error_deg,left_action,right_action,r_dist,r_progress,r_align,r_time,r_action,r_total,cumulative,goal_reached
0,0.00000,0.00000,0.23643,9.00927,9.01238,0.00396,88.49402,-0.06695,0.52271,-0.38459,0.00000,0.00000,-0.05000,-0.00263,-0.43722,-0.43722,False
1,0.00000,0.00000,0.23643,9.00927,9.01239,0.06997,88.48896,-0.13482,-0.15794,-0.38459,0.00000,0.00010,-0.05000,-0.00342,-0.43802,-0.87524,False
2,0.00000,0.00000,0.23643,9.00927,9.01240,0.09234,88.48528,0.02743,-0.29584,-0.38459,0.00000,0.00015,-0.05000,-0.00106,-0.43563,-1.31087,False
3,0.00000,0.00000,0.23643,9.00927,9.01242,0.16482,88.47926,-0.34783,-0.47461,-0.38459,0.00000,0.00037,-0.05000,-0.00208,-0.43653,-1.74740,False
4,0.00000,0.00000,0.23643,9.00927,9.01245,0.22875,88.47093,-0.21302,-0.05984,-0.38459,0.00000,0.00067,-0.05000,-0.00218,-0.43642,-2.18383,False
5,0.00000,0.00000,0.23643,9.00927,9.01249,0.29918,88.46036,-0.32006,-0.29858,-0.38460,0.00000,0.00115,-0.05000,-0.00131,-0.43515,-2.61898,False
6,0.00000,0.00000,0.23643,9.00927,9.01254,0.36856,88.44760,-0.22664,-0.47513,-0.38460,0.00000,0.00182,-0.05000,-0.00100,-0.43428,-3.05326,False
7,0.00000,0.00000,0.23643,9.00927,9.01259,0.36302,88.43801,0.59472,-0.51839,-0.38460,0.00000,0.00177,-0.05000,-0.00411,-0.43742,-3.49068,False
8,0.00000,0.00000,0.23643,9.00927,9.01263,0.28369,88.43091,0.41635,0.24432,-0.38460,0.00000,0.00105,-0.05000,-0.00392,-0.43784,-3.92851,False
9,0.00000,0.00000,0.23643,9.00927,9.01267,0.32289,88.42134,-0.24890,-0.01325,-0.38460,0.00000,0.00139,-0.05000,-0.00357,-0.43722,-4.36573,False
10,0.00000,0.00000,0.23643,9.00927,9.01272,0.31804,88.41495,0.67630,-0.38578,-0.38460,0.00000,0.00135,-0.05000,-0.00499,-0.43868,-4.80441,False
11,0.00000,0.00000,0.23643,9.00927,9.01276,0.31326,88.41164,0.77804,-0.91405,-0.38460,0.00000,0.00131,-0.05000,-0.00269,-0.43637,-5.24078,False
12,0.00000,0.00000,0.23643,9.00927,9.01279,0.28991,88.40684,-0.03715,0.62151,-0.38460,0.00000,0.00112,-0.05000,-0.00869,-0.44257,-5.68335,False
13,0.00000,0.00000,0.23643,9.00927,9.01282,0.21169,88.40449,0.20314,0.20826,-0.38460,0.00000,0.00060,-0.05000,-0.00239,-0.43667,-6.12002,False
14,0.00000,0.00000,0.23643,9.00927,9.01284,0.13464,88.40457,0.21265,0.26681,-0.38460,0.00000,0.00028,-0.05000,-0.00030,-0.43479,-6.55481,False
15,0.00000,0.00000,0.23643,9.00927,9.01286,0.14327,88.40181,-0.41329,0.05336,-0.38461,0.00000,0.00031,-0.05000,-0.00331,-0.43781,-6.99262,False
16,0.00000,0.00000,0.23643,9.00927,9.01288,0.14112,88.40208,0.14902,-0.63817,-0.38461,0.00000,0.00030,-0.05000,-0.00446,-0.43892,-7.43154,False
17,0.00000,0.00000,0.23643,9.00927,9.01290,0.17595,88.40276,-0.00002,-0.90701,-0.38461,0.00000,0.00043,-0.05000,-0.00154,-0.43594,-7.86748,False
18,0.00000,0.00000,0.23643,9.00927,9.01291,0.09944,88.40582,0.47070,0.17370,-0.38461,0.00000,0.00018,-0.05000,-0.00589,-0.44044,-8.30792,False
19,0.00000,0.00000,0.23643,9.00927,9.01292,0.09795,88.41189,0.96508,-0.85784,-0.38461,0.00000,0.00017,-0.05000,-0.00572,-0.44025,-8.74817,False
20,0.00000,0.00000,0.23643,9.00927,9.01292,0.02260,88.42033,0.68344,0.31535,-0.38461,0.00000,0.00003,-0.05000,-0.00603,-0.44060,-9.18877,False
21,0.00000,0.00000,0.23643,9.00927,9.01293,0.09614,88.42642,-0.86264,-0.29905,-0.38461,0.00000,0.00017,-0.05000,-0.00832,-0.44287,-9.63164,False
22,0.00000,0.00000,0.23643,9.00927,9.01295,0.16857,88.43014,-0.28957,-0.19207,-0.38461,0.00000,0.00040,-0.05000,-0.00291,-0.43732,-10.06896,False
23,0.00000,0.00000,0.23643,9.00927,9.01297,0.16604,88.43691,0.18865,-0.53927,-0.38461,0.00000,0.00038,-0.05000,-0.00295,-0.43735,-10.50631,False
24,0.00000,0.00000,0.23643,9.00927,9.01297,0.08968,88.44607,0.24784,0.19038,-0.38461,0.00000,0.00015,-0.05000,-0.00366,-0.43820,-10.94451,False
25,0.00000,0.00000,0.23643,9.00927,9.01298,0.08833,88.45820,0.97879,-0.90700,-0.38461,0.00000,0.00014,-0.05000,-0.00659,-0.44111,-11.38562,False
26,0.00000,0.00000,0.23643,9.00927,9.01299,0.16088,88.46798,-0.88895,-0.52638,-0.38461,0.00000,0.00036,-0.05000,-0.00953,-0.44394,-11.82956,False
27,0.00000,0.00000,0.23643,9.00927,9.01300,0.08459,88.48014,0.48567,0.62847,-0.38461,0.00000,0.00013,-0.05000,-0.00898,-0.44351,-12.27307,False
